time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.0065460205078125,8261,3,1.0,3,1.0
0.00031638145446777344,692,0,1.0,0,1.0
0.00026726722717285156,1753,1,1.0,1,1.0
0.0005667209625244141,2917,5,1.0,5,1.0
0.0003800392150878906,298,3,1.0,3,1.0
0.0003867149353027344,6298,9,1.0,9,1.0
0.0002727508544921875,5342,0,1.0,0,1.0
0.0003781318664550781,4122,7,1.0,7,1.0
0.0003714561462402344,7789,6,1.0,6,1.0
0.0002899169921875,2183,5,1.0,5,1.0
0.0003142356872558594,5765,8,1.0,8,1.0
0.00028061866760253906,6285,6,1.0,6,1.0
0.00042819976806640625,2553,9,1.0,9,1.0
0.00052642822265625,6253,1,1.0,1,1.0
0.00043129920959472656,4572,5,1.0,5,1.0
0.0007426738739013672,5978,0,1.0,0,1.0
0.0005991458892822266,5222,1,1.0,1,1.0
0.0005118846893310547,7159,1,1.0,1,1.0
0.0004062652587890625,2622,6,1.0,6,1.0
0.0003848075866699219,8306,6,1.0,6,1.0
0.0002837181091308594,5553,4,1.0,4,1.0
0.00041103363037109375,7131,4,1.0,4,1.0
0.0006356239318847656,5380,7,1.0,7,1.0
0.0003750324249267578,8442,2,1.0,2,1.0
0.00043201446533203125,3500,9,1.0,9,0.8333333333333338
0.0004279613494873047,5515,1,1.0,1,1.0
0.0004000663757324219,7127,0,1.0,0,1.0
0.0002732276916503906,8360,5,1.0,5,1.0
0.00038313865661621094,162,6,1.0,6,1.0
0.0002727508544921875,271,0,1.0,0,1.0
0.0003161430358886719,5188,7,1.0,7,1.0
0.0003848075866699219,5010,2,1.0,2,1.0
0.00032806396484375,2281,1,1.0,1,1.0
0.0003235340118408203,3502,9,1.0,9,1.0
0.0004868507385253906,1050,8,1.0,8,1.0
0.00026297569274902344,4189,2,1.0,2,1.0
0.0003314018249511719,4346,3,1.0,3,1.0
0.0002815723419189453,1285,7,1.0,7,1.0
0.00028777122497558594,143,7,1.0,7,1.0
0.0003693103790283203,6254,9,1.0,9,1.0
0.0004105567932128906,5450,8,1.0,8,1.0
0.0005102157592773438,6419,7,1.0,7,1.0
0.0005619525909423828,4165,0,1.0,0,1.0
0.0005023479461669922,6481,8,1.0,8,1.0
0.0005118846893310547,8167,0,1.0,0,1.0
0.0007569789886474609,6501,3,1.0,3,1.0
0.0006480216979980469,1599,1,1.0,1,1.0
0.0009512901306152344,5575,3,1.0,3,1.0
0.0006122589111328125,3665,9,1.0,9,1.0
0.0006771087646484375,1566,3,1.0,3,1.0
0.0007843971252441406,2785,2,1.0,2,1.0
0.0007543563842773438,6765,8,1.0,8,1.0
0.0005159378051757812,2966,9,1.0,9,1.0
0.0005269050598144531,3142,7,1.0,7,1.0
0.0006995201110839844,854,6,1.0,6,1.0
0.000576019287109375,7366,5,1.0,5,1.0
0.0006597042083740234,3400,7,1.0,7,0.6666666666666666
0.0006778240203857422,1027,1,1.0,1,1.0
0.0006184577941894531,7369,4,1.0,4,1.0
0.0006573200225830078,7497,7,1.0,7,1.0
0.0008778572082519531,3819,0,1.0,0,1.0
0.00104522705078125,7135,8,1.0,8,1.0
0.001024007797241211,8755,8,1.0,8,1.0
0.0008120536804199219,3584,9,1.0,9,1.0
0.0006771087646484375,3700,9,1.0,9,1.0
0.0007939338684082031,1643,6,1.0,6,1.0
0.0006866455078125,2148,1,1.0,1,1.0
0.0006499290466308594,435,9,1.0,9,1.0
0.0006947517395019531,97,1,1.0,1,1.0
0.0007848739624023438,8361,6,1.0,6,1.0
0.0006244182586669922,7708,1,1.0,1,1.0
0.0009176731109619141,1992,3,1.0,3,1.0
0.0006597042083740234,3001,4,1.0,4,1.0
0.0007410049438476562,4725,4,1.0,4,1.0
0.0007393360137939453,8424,6,1.0,6,1.0
0.0006549358367919922,2847,0,1.0,0,1.0
0.0008511543273925781,6738,1,1.0,1,1.0
0.0007405281066894531,3092,8,1.0,8,1.0
0.0008308887481689453,6526,0,1.0,0,1.0
0.0008957386016845703,410,2,1.0,2,1.0
0.001041412353515625,549,4,1.0,4,1.0
0.0006709098815917969,7039,4,1.0,4,1.0
0.0007984638214111328,8463,7,1.0,7,1.0
0.0006973743438720703,8656,3,1.0,3,1.0
0.0006556510925292969,8187,8,1.0,8,1.0
0.0004949569702148438,5823,5,1.0,5,1.0
0.0003407001495361328,5913,1,1.0,1,1.0
0.0004124641418457031,1775,5,1.0,5,1.0
0.00025653839111328125,7305,1,1.0,1,1.0
0.00040912628173828125,4225,3,1.0,3,1.0
0.000263214111328125,377,6,1.0,6,1.0
0.0002532005310058594,8223,0,1.0,0,1.0
0.00034117698669433594,6818,4,1.0,4,1.0
0.0005016326904296875,3734,2,1.0,2,1.0
0.0005393028259277344,3352,3,1.0,3,1.0
0.0009179115295410156,8915,4,1.0,4,1.0
0.0007989406585693359,1191,2,1.0,2,1.0
0.0006420612335205078,2359,0,1.0,0,1.0
0.0004169940948486328,7721,2,1.0,2,1.0
0.0003581047058105469,8246,2,1.0,2,1.0
