time(s),dataset_index,single_class,single_prob,ensemble_class,ensemble_prob
0.0021209716796875,5212,5,1.0,0,0.37509816104284255
0.0018658638000488281,4529,8,1.0,8,0.8750000000005205
0.003740549087524414,6758,4,1.0,4,0.75
0.0021605491638183594,3360,8,1.0,8,0.6197524836562378
0.002112150192260742,4977,8,1.0,8,0.625
0.003712892532348633,8517,5,0.999881,8,0.5000148624912981
0.002918243408203125,1589,8,1.0,8,0.75
0.0035719871520996094,7094,8,1.0,7,0.5
0.002446889877319336,7310,7,1.0,7,0.875
0.0025250911712646484,1414,5,1.0,5,0.5744475945830345
0.0027205944061279297,6108,5,1.0,5,1.0
0.0028519630432128906,7668,8,1.0,8,0.875
0.004589557647705078,5409,8,1.0,8,1.0
0.0035276412963867188,230,8,1.0,8,1.0
0.0023508071899414062,4234,1,1.0,1,0.75
0.002019643783569336,886,5,1.0,5,1.0
0.002487659454345703,7598,8,1.0,8,0.875
0.0021376609802246094,8982,5,1.0,5,1.0
0.003657102584838867,893,8,1.0,8,0.75
0.0029668807983398438,2377,8,1.0,5,0.6250000000446763
0.0023956298828125,8393,8,1.0,8,0.875
0.0037107467651367188,504,8,1.0,8,0.750000000066122
0.0037832260131835938,3906,8,1.0,8,0.75
0.0023794174194335938,8809,5,1.0,5,1.0
0.002347230911254883,7469,9,1.0,7,0.5
0.0032396316528320312,2567,5,1.0,5,1.0
0.0024871826171875,1699,8,1.0,7,0.5
0.0023224353790283203,8457,8,1.0,4,0.5084596890956163
0.0021109580993652344,3704,5,1.0,5,0.875
0.0020911693572998047,4785,8,1.0,0,0.625
0.0021495819091796875,8695,8,1.0,0,0.5
0.002559185028076172,3390,8,0.9984993,2,0.6251875906164059
0.0038604736328125,1315,9,1.0,4,0.3749999850988388
0.0018689632415771484,250,5,1.0,5,0.75
0.0022614002227783203,7856,8,1.0,8,0.625
0.003885507583618164,2985,8,1.0,8,1.0
0.0030717849731445312,1938,5,1.0,5,1.0
0.0027391910552978516,4338,5,1.0,5,1.0
0.0021131038665771484,5032,2,1.0,0,0.375
0.002366304397583008,7146,5,1.0,5,0.75
0.0021970272064208984,1615,8,1.0,8,0.6242964044213295
0.0032575130462646484,8051,7,1.0,7,0.625
0.002660036087036133,8521,8,1.0,0,0.75
0.0021903514862060547,145,8,1.0,8,0.8750000215281499
0.0022835731506347656,2757,5,1.0,5,1.0
0.002300739288330078,3751,8,1.0,8,0.7500000000000724
0.002558469772338867,5770,5,1.0,5,1.0
0.0023539066314697266,7833,5,1.0,5,1.0
0.0019996166229248047,6119,8,1.0,0,0.875
0.002246379852294922,6278,8,1.0,1,0.5
0.002999544143676758,5444,8,1.0,5,0.75
0.0024416446685791016,6795,8,1.0,8,1.0
0.0029282569885253906,1868,4,1.0,4,0.75
0.0028946399688720703,7752,8,1.0,5,0.6250000372268261
0.002691984176635742,8665,5,1.0,5,1.0
0.0024557113647460938,3813,5,1.0,5,1.0
0.0031690597534179688,3250,8,1.0,8,1.0
0.0021958351135253906,1621,8,1.0,8,0.8554848730564117
0.0026514530181884766,7124,8,1.0,0,0.625
0.0022780895233154297,5015,8,1.0,8,1.0
0.0028612613677978516,6040,5,1.0,5,1.0
0.002342700958251953,5002,8,1.0,8,1.0
0.0032188892364501953,982,5,1.0,5,1.0
0.0025718212127685547,4461,7,1.0,7,0.752746973419562
0.0031690597534179688,8129,8,1.0,8,0.5045273799541534
0.001964569091796875,4309,8,1.0,8,0.75
0.005100250244140625,4224,5,1.0,5,1.0
0.002302885055541992,679,8,1.0,8,1.0
0.003475189208984375,6831,8,1.0,8,0.625
0.0033142566680908203,7836,8,1.0,8,0.75
0.0024743080139160156,2232,8,1.0,8,0.875
0.0027124881744384766,5900,8,1.0,8,1.0
0.001940011978149414,8203,5,1.0,5,1.0
0.0035674571990966797,6213,5,1.0,5,1.0
0.002034902572631836,2295,8,1.0,8,1.0
0.0019991397857666016,4937,8,1.0,8,0.875
0.0026159286499023438,6200,7,1.0,5,0.375
0.0031538009643554688,4874,5,1.0,5,1.0
0.0019767284393310547,8907,5,1.0,5,1.0
0.0025277137756347656,2002,1,1.0,1,1.0
0.002550840377807617,2110,8,1.0,8,1.0
0.0028388500213623047,2791,8,1.0,8,0.6250000613391933
0.0025017261505126953,7627,8,1.0,0,0.625
0.002409219741821289,4247,5,1.0,5,0.75
0.00287628173828125,3932,7,1.0,7,0.7500000000000021
0.002393007278442383,1928,5,1.0,5,0.625
0.0023903846740722656,7696,5,1.0,5,1.0
0.0023131370544433594,1613,8,1.0,8,1.0
0.002011537551879883,5122,4,1.0,4,0.75
0.003473043441772461,702,1,1.0,1,0.5
0.003184080123901367,8392,8,1.0,8,1.0
0.0028972625732421875,8555,8,1.0,8,0.875
0.0030519962310791016,8313,4,1.0,4,0.6250000363522616
0.0020134449005126953,7433,5,1.0,5,1.0
0.0030286312103271484,1134,5,1.0,5,1.0
0.002408742904663086,482,8,1.0,8,1.0
0.0023539066314697266,8044,8,1.0,5,0.5000035780321923
0.0030913352966308594,3882,8,1.0,8,0.625
0.002169370651245117,7579,8,1.0,8,1.0
0.0029196739196777344,4924,8,1.0,8,0.875
